"","V1"
"1184",7252
"1185",2937
"1186",1782
"1187",2387
"1188",2406
"1189",1775
"1190",1161
"1191",1145
"1192",2397
"1193",9301
"1194",282
"1195",4960
"1196",5163
"1197",5563
"1198",14782
"1199",2681
"1200",4741
"1201",3120
"1202",2463
"1203",1935
"1204",1085
"1205",2147
"1206",3238
"1207",1965
"1208",1269
"1209",1501
"1210",1241
"1211",3910
"1212",2912
"1213",1437
"1214",2443
"1215",10904
"1216",803
"1217",2355
"1218",1147
"1219",2688
"1220",1214
"1221",1752
"1222",1451
"1223",2774
"1224",1173
"1225",11876
"1226",1080
"1227",1517
"1228",1766
"1229",2368
"1230",416
"1231",8625
"1232",1164
"1233",1434
"1234",542
"1235",8726
"1236",2663
"1237",2301
"1238",1803
"1239",8834
"1240",6424
"1241",1517
"1242",2562
"1243",1251
"1244",2409
"1245",2504
"1246",2686
"1247",1163
"1248",2295
"1249",1892
"1250",1426
"1251",3168
"1252",6368
"1253",1362
"1254",615
"1255",1118
"1256",1800
"1257",2255
"1258",1439
"1259",1098
"1260",17050
"1261",9192
"1262",3788
"1263",1621
"1264",1422
"1265",1129
"1266",1137
"1267",1935
"1268",3081
"1269",2482
"1270",935
"1271",1529
"1272",1048
"1273",1957
"1274",2502
"1275",14645
"1276",8960
"1277",763
"1278",2877
"1279",8271
"1280",2547
"1281",1894
"1282",1799
"1283",1647
"1284",1137
"1285",1884
"1286",1632
"1287",494
"1288",1034
"1289",1197
"1290",1305
"1291",2914
"1292",5051
"1293",518
"1294",4585
"1295",5501
"1296",2605
"1297",2608
"1298",2127
"1299",5477
"1300",1493
"1301",1944
"1302",2885
"1303",9642
"1304",256
"1305",48
"1306",2111
"1307",1309
"1308",2630
"1309",1665
"1310",3160
"1311",1223
"1312",3167
"1313",2924
"1314",6924
"1315",318
"1316",903
"1317",13197
"1318",10295
"1319",4014
"1320",1993
"1321",2913
"1322",3261
"1323",987
"1324",1952
"1325",4649
"1326",438
"1327",13777
"1328",3293
"1329",1266
"1330",5914
"1331",1235
"1332",2677
"1333",6490
"1334",2436
"1335",3221
"1336",2361
"1337",2687
"1338",961
"1339",6746
"1340",1709
"1341",1579
"1342",2737
"1343",6645
"1344",3096
"1345",1193
"1346",3214
"1347",5083
"1348",3184
"1349",3263
"1350",5874
"1351",4229
"1352",5215
"1353",17338
"1354",8739
"1355",1236
"1356",3207
"1357",1218
"1358",849
"1359",3729
"1360",2680
"1361",13735
"1362",2852
"1363",3300
"1364",2742
"1365",4120
"1366",1852
"1367",2793
"1368",7374
"1369",2752
"1370",1388
"1371",1963
"1372",753
"1373",2905
"1374",5657
"1375",6495
"1376",366
"1377",1156
"1378",2399
"1379",3944
"1380",1132
"1381",5135
"1382",2561
"1383",7372
"1384",5866
"1385",1723
"1386",3134
"1387",3169
"1388",7429
"1389",2551
"1390",6487
"1391",4592
"1392",2797
"1393",2967
"1394",10744
"1395",6775
"1396",3089
"1397",1320
"1398",2923
"1399",2396
"1400",2170
"1401",7672
"1402",4731
"1403",390
"1404",4107
"1405",1880
"1406",10348
"1407",3642
"1408",17943
"1409",6218
"1410",7089
"1411",2485
"1412",1809
"1413",7991
"1414",3862
"1415",2100
"1416",974
"1417",1110
"1418",17336
"1419",4476
"1420",2854
"1421",1950
"1422",1756
"1423",1035
"1424",4980
"1425",2404
"1426",2077
"1427",6643
"1428",2869
"1429",2442
"1430",10117
"1431",1637
"1432",7137
"1433",3973
"1434",8311
"1435",2883
"1436",5497
"1437",4683
"1438",486
"1439",4702
"1440",7190
"1441",1706
"1442",574
"1443",1589
"1444",3094
"1445",3235
"1446",12799
"1447",2270
"1448",5338
"1449",7666
"1450",9162
"1451",2550
"1452",3667
"1453",1170
"1454",1243
"1455",2640
"1456",8459
"1457",8460
"1458",6329
"1459",6330
"1460",17440
"1461",3149
"1462",3688
"1463",8913
"1464",9531
"1465",2944
"1466",7994
"1467",9973
"1468",2732
"1469",4644
"1470",2660
"1471",2841
"1472",1195
"1473",2960
"1474",980
"1475",3015
"1476",2400
"1477",4990
"1478",284
"1479",2306
"1480",3410
"1481",554
"1482",2522
"1483",13115
"1484",6741
